blog,title,summary_html,image,tag,subhead,imgs,Preview Image,image root,Images,Date
journal,Paul Andrew & Collette,7/3/15,https://dl.dropboxusercontent.com/u/65994410/blogs/events-collette-1_thumb.jpg,events,collette and vanity fair france hosted an in-store cocktail to celebrate the pre-spring 2016 collection. Photos by François Goiz_.,"events-collette-1.jpg,events-collette-2.jpg,events-collette-3.jpg,events-collette-4.jpg,events-collette-4.jpg,",events-collette-1_thumb.jpg,,,7/3/15
journal,paul andrew spring 2016 nyfw presentation,9/16/15,https://dl.dropboxusercontent.com/u/65994410/blogs/events-fw16_thumb.jpg,events,"Paul andrew hosted top editors, vips, and stylists to preview the spring/summer 2016 collection at New York Fashion Week. Photos by Madison McGaw/BFA.","events-fw16-01.jpg,events-fw16-03.jpg,events-fw16-06.jpg,events-fw16-08.jpg,events-fw16-011.jpg",events-fw16_thumb.jpg,,,9/16/15
journal,cfda/vogue fashion fund afterparty,11/3/15,https://dl.dropboxusercontent.com/u/65994410/blogs/events-cvff_thumb.jpg,events,"Paul Andrew, Ryan Roche, and Eva Fehren hosted the after party for the CFDA/Vogue Fashion Fund announcement dinner.","events-cvff-01.jpg,events-cvff-02.jpg,events-cvff-08.jpg,events-cvff-11.jpg,events-cvff-20.jpg",events-cvff_thumb.jpg,,,11/3/15
journal,paul andrew fall 2015 nyfw presentation,1/16/15,https://dl.dropboxusercontent.com/u/65994410/blogs/events-fw15_thumb.jpg,events,"Paul Andrew hosted top editors, vips, and stylists to preview the fall/winter 2015 collection at New York Fashion Week. Photos by Paul Porter/BFA.","events-fw15-1.jpg,events-fw15-2.jpg,events-fw15-3.jpg,events-fw15-5.jpg,events-fw15-7.jpg",events-fw15_thumb.jpg,,,1/16/15
journal,paul andrew fall 2016 nyfw presenation,2/13/16,https://dl.dropboxusercontent.com/u/65994410/blogs/events-fw16_thumb.jpg,events,"Paul Andrew hosted top editors, vips, and stylists to preview the fall/winter 2016 collection at New York Fashion Week. Photos by Benjamin Lozovsky/BFA.com","events-fw16-1.jpg,events-fw16-2.jpg,events-fw16-3.jpg,events-fw16-4.jpg,events-fw16-5.jpg",events-fw16_thumb.jpg,,,2/13/16
journal,paul andrew & jo malone london,2/9/16,https://dl.dropboxusercontent.com/u/65994410/blogs/events-jml_thumb.jpg,events,Paul Andrew and Jo Malone London host a dinner to celebrate the launch of Paul Andrew Mens line. Photos by Joe Schildhorn/BFA.,"events-jml-1.jpg,events-jml-2.jpg,events-jml-3.jpg,events-jml-4.jpg,events-jml-5.jpg",events-jml_thumb.jpg,,,2/9/16
journal,Art Basel 2015,12/5/15,https://dl.dropboxusercontent.com/u/65994410/blogs/events-artbasel_thumb.jpg,events,Paul Andrew hosts a dinner to celebrate Miami Art Basel 2015. Photos by Kelly Taub/BFA.,"events-artbasel-1.jpg,events-artbasel-2.jpg,events-artbasel-3.jpg,events-artbasel-4.jpg,events-artbasel-5.jpg",events-artbasel_thumb.jpg,,,12/5/15
journal,paul andrew Men's collection launch,2/4/16,https://dl.dropboxusercontent.com/u/65994410/blogs/events-menslaunch_thumb.jpg,events,Paul Andrew presents his inaugrual men's collection at New York Men's Fashion Week. Photos by Aria Isadora/BFA.,"events-menslaunch-1.jpg,events-menslaunch-2.jpg,events-menslaunch-3.jpg,events-menslaunch-4.jpg,events-menslaunch-5.jpg",events-menslaunch_thumb.jpg,,,2/4/16
journal,The latest Paul Andrew VIP sightings,12/11/14,https://dl.dropboxusercontent.com/u/65994410/blogs/vip-luptianyongo-1-12-2014_thumb.jpg,vip,"Representing the epitome of the Paul Andrew woman: talented, thoughtful, and utterly elegant.
","vip-luptianyongo-1-12-2014.jpg,vip-jessicachastain-5-18-2014.jpg,vip-keiraknightley-9-10-2014.jpg,vip-gwynethpaltrow-10-8-2014.jpg,vip-amyadams-11-14-2014.jpg,vip-oliviamunn-12-11-2014.jpg",vip-luptianyongo-1-12-2014_thumb.jpg,,,12/11/14
journal,The latest Paul Andrew VIP sightings,8/27/15,https://dl.dropboxusercontent.com/u/65994410/blogs/vip-allisonwilliams-4-22-2015_thumb.jpg,vip,"Representing the epitome of the Paul Andrew woman: talented, thoughtful, and utterly elegant.
","vip-allisonwilliams-4-22-2015.jpg,vip-kristenwiig-4-29-2015.jpg,vip-emmastone-7-9-2015.jpg,vip-zosiamamet-7-20-2015.jpg
vip-reesewitherspoon-7-28-2015.jpg,vip-emmawatson-8-27-2015.jpg,vip-emmawatson-8-27-2015.jpg,vip-emmawatson2-8-27-2015.jpg",vip-allisonwilliams-4-22-2015_thumb.jpg,,,8/27/15
journal,The latest Paul Andrew VIP sightings,10/7/15,https://dl.dropboxusercontent.com/u/65994410/blogs/vip-dakotajohnson9-8-2015_thumb.jpg,vip,"Representing the epitome of the Paul Andrew woman: talented, thoughtful, and utterly elegant.
","vip-dakotajohnson9-8-2015.jpg,vip-emilyblunt9-14-2015.jpg,vip-annakendrick-9-19-2015.jpg,vip-dakotahjohnson-9-23-2015.jpg,vip-kerrywashington-9-24-2015.jpg,vip-katebosworth-10-1-2015.jpg,vip-haileesteinfeld-10-7-2015.jpg",vip-dakotajohnson9-8-2015_thumb.jpg,,,10/7/15
