blog,title,summary_html,image,tags,subhead,original,Preview Image,image root,Images
press,barney's,3/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-barneys-2015-7-thumb.jpg,press,Featuring the Athena in black.,"press-barneys-2015-7-1.jpg,press-barneys-2015-7-2.jpg",press-barneys-2015-7-thumb.jpg,press-barneys-2015-7-1.jpg,2
press,bergdorf goodman,9/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-barneys-2015-9-thumb.jpg,press,Featuring the Chrysler evening boot in black suede.,press-barneys-2015-9-1.jpg,press-barneys-2015-9-thumb.jpg,press-barneys-2015-9-1.jpg,1
press,bergdorf goodman,3/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-bergdorf-2015-3-thumb.jpg,press,Featuring the Athena in tan sport calf.,press-bergdorf-2015-3-1.jpg,press-bergdorf-2015-3-thumb.jpg,press-bergdorf-2015-3-1.jpg,1
press,cosmopolitan,3/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-cosmo-2015-3-thumb.jpg,press,Featuring the Hercules in fresh tangerine.,press-cosmo-2015-3-1.jpg,press-cosmo-2015-3-thumb.jpg,press-cosmo-2015-3-1.jpg,1
press,elle,10/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-elle-2015-10-thumb.jpg,press,Featuring the Tianjin in black velvet.,press-elle-2015-10-1.jpg,press-elle-2015-10-thumb.jpg,press-elle-2015-10-1.jpg,1
press,elle,9/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-elle-2015-9-thumb.jpg,press,Featuring the Liberty in black stretch nappa.,press-elle-2015-9-1.jpg,press-elle-2015-9-thumb.jpg,press-elle-2015-9-1.jpg,1
press,elle norway,9/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-elle-norway-2015-9-thumb.jpg,press,Featuring the Charlton in black suede.,press-elle-norway-2015-9-1.jpg,press-elle-norway-2015-9-thumb.jpg,press-elle-norway-2015-9-1.jpg,1
press,footwear news,9/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-FN-2015-9-thumb.jpg,press,,press-FN-2015-9-1.jpg,press-FN-2015-9-thumb.jpg,press-FN-2015-9-1.jpg,1
press,l'officiel turkey,5/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-lofficiel-2015-5-thumb.jpg,press,,"press-lofficiel-2015-5-1.jpg,press-lofficiel-2015-5-2.jpg,press-lofficiel-2015-5-3.jpg,press-lofficiel-2015-5-4.jpg",press-lofficiel-2015-5-thumb.jpg,press-lofficiel-2015-5-1.jpg,4
press,gotham magazine,9/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-gotham-2015-9-thumb.jpg,press,Featuring the Chrysler pump in black suede.,press-gotham-2015-9-1.jpg,press-gotham-2015-9-thumb.jpg,press-gotham-2015-9-1.jpg,1
press,grazia uk,9/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-grazia-uk-2015-9-thumb.jpg,press,Featuring the Metro in black.,press-grazia-uk-2015-9-1.jpg,press-grazia-uk-2015-9-thumb.jpg,press-grazia-uk-2015-9-1.jpg,1
press,harper's bazaar,6/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-hb-2015-6-thumb.jpg,press,Featuring the Chrysler boot in suede.,press-hb-2015-6-1.jpg,press-hb-2015-6-thumb.jpg,press-hb-2015-6-1.jpg,1
press,harper's bazaar spain,8/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-hb-spain-2015-8-thumb.jpg,press,,"press-hb-spain-2015-8-1.jpg,press-hb-spain-2015-8-2.jpg",press-hb-spain-2015-8-thumb.jpg,press-hb-spain-2015-8-1.jpg,2
